filename,category,label,label_name,split
1-104089-A-22.wav,clapping,0,CLAP,train
1-104089-B-22.wav,clapping,0,CLAP,train
1-105224-A-22.wav,clapping,0,CLAP,train
1-110537-A-22.wav,clapping,0,CLAP,train
1-115920-A-22.wav,clapping,0,CLAP,test
1-101336-A-30.wav,door_wood_knock,1,KNOCK,train
1-103995-A-30.wav,door_wood_knock,1,KNOCK,train
1-103999-A-30.wav,door_wood_knock,1,KNOCK,train
1-26188-A-30.wav,door_wood_knock,1,KNOCK,train
1-52290-A-30.wav,door_wood_knock,1,KNOCK,test
1-20133-A-39.wav,glass_breaking,2,GLASS,train
1-84536-A-39.wav,glass_breaking,2,GLASS,train
1-84704-A-39.wav,glass_breaking,2,GLASS,train
1-84705-A-39.wav,glass_breaking,2,GLASS,train
1-85168-A-39.wav,glass_breaking,2,GLASS,test
1-19111-A-24.wav,coughing,3,COUGH,train
1-19118-A-24.wav,coughing,3,COUGH,train
1-30830-A-24.wav,coughing,3,COUGH,train
1-52266-A-24.wav,coughing,3,COUGH,train
1-52323-A-24.wav,coughing,3,COUGH,test
1-1791-A-26.wav,laughing,4,LAUGH,train
1-30039-A-26.wav,laughing,4,LAUGH,train
1-30043-A-26.wav,laughing,4,LAUGH,train
1-33658-A-26.wav,laughing,4,LAUGH,train
1-36164-A-26.wav,laughing,4,LAUGH,test
1-21934-A-38.wav,clock_tick,5,TICK,train
1-21935-A-38.wav,clock_tick,5,TICK,train
1-35687-A-38.wav,clock_tick,5,TICK,train
1-42139-A-38.wav,clock_tick,5,TICK,train
1-48413-A-38.wav,clock_tick,5,TICK,test
